"character name","Anchylorhynchus imaginarius"
"Body, size (length of elytra + pronotum) (mm)","6.0"
"Head, rostrum, length in relation to pronotum","2.0"
"Head, rostrum, width at apex in relation to base","1.4-1.5"
"Head, rostrum, integument color","red"
"Head, rostrum, number of longitudinal carinae","11"
"Head, rostrum, carinae distinctiveness","indistinct"
"Head, rostrum, easter egg, presence","absent"
"Head, rostrum, scrobes position","parallel to rostrum"
"Head, rostrum, apex vestiture","covered by large scales"
"Head, rostrum, areas between carinae vestiture","covered by yellowish to brown scales"
"Head, rostrum, scales shape","wide"
"Head, rostrum, scales direction","directed toward the base"
"Head, eyes, height to width ratio","1.5-1.6"
"Head, eyes, separation ratio above to below","0.8-0.9"
"Head, integument color","yellowish to dark brown"
"Head, integument vestiture","glabrous"
"Head, scales direction","directed to the inter-ocular fovea"
"Head, antennae, scape, shape","cruved"
"Head, antennae, scape, length in relation to eye margin","barely reaching anterior eye margin"
"Head, antennae, funicle, antennomere I, width in relation to antennomere II","only slightly wider"
"Head, antennae, funicle, antennomere II, length in relation to antennomere I","about as long"
"Head, antennae, funicle, antennomere II, length in relation to antennomere III","about 2 times as long"
"Head, antennae, funicle, antennomere VI, shape","as wide as long"
"Head, antennae, funicle, antennomere VI, width in relation to club","narrower"
"Head, antennae, club, length in relation to antennomeres V-VI of funicle","longer"
"Head, left mandible, outer margin shape","straight"
"Head, left mandible, number of dorsal setae","one"
"Head, left mandible, outer tooth connection to mandible margin","evenly connected, not forming a sharp angle"
"Head, left mandible, outer tooth shape","rounded at apex"
"Head, left mandible, inner tooth presence","absent or weakly developed"
"Head, left mandible, molar region shape","straight"
"Head, left maxilla, stipes, shape","moderately elongate"
"Head, left maxilla, stipes, number of ventral setae","one long"
"Head, left maxilla, galeo-lacinial complex, length in relation to palpomere I","extending beyond the apex"
"Head, left maxilla, palpiger, ventral region shape","transverse"
"Head, left maxilla, palpiger, dorsal region angle at base","forming an acute angle"
"Head, left maxilla, palpomere I, number of apical setae","two"
"Head, left maxilla, palpomere I, apical setae length in relation to palpomere I length","shorter"
"Head, left maxilla, palpomere II, length in relation to palpomere I","approximately as long"
"Head, labium, prementum, width in relation to postmentum","almost as wide"
"Head, labium, prementum, width to length ratio","about 1.5"
"Head, labium, prementum, lateral margins in median region","parallel"
"Head, labium, prementum, lateral-apical region","with a right angle"
"Head, labium, prementum, vestiture","with sparse setae, not arranged in rows"
"Head, labium, ligula, presence","present, but inconspicuous"
"Head, labium, palps, separation in relation to width of palpomere I","separated by less than half the width"
"Head, labium, palpomere I, shape","transverse"
"Head, labium, palpomere II, length in relation to palpomere III","shorter"
"Head, labium, palpomere III, number of lateral setae","two"